Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate,Median Income 2020,Mean Income 2020,GDP per Capita 2020
Tonga,70.5,61.3,79.1,2782,3677,NA
Nauru,70.2,69.4,71,NA,NA,14327
Tuvalu,63.9,57.1,22.9,2099,2802,NA
Samoa,61.2,50,72.6,2537,3418,7837
Bahamas,47.6,39.1,55.1,NA,NA,41198
Marshall Islands,47.3,38.4,56.4,NA,NA,8198
Saint Kitts and Nevis,46.6,37.4,55,NA,NA,35545
Kiribati,46.2,35.8,55.5,1489,1858,3702
Micronesia,45.6,37,54.1,1413,1858,4346
Kuwait,45.4,41.6,51.7,NA,NA,51636
Qatar,43.8,41.7,50.6,NA,NA,126110
Egypt,43,30.1,56,1485,1847,19094
United States,42.9,41.9,43.8,19306,25332,85810
Belize,41.9,32.3,51.5,1927,3246,15093
Saudi Arabia,41.1,38.9,44.5,NA,NA,71243
Chile,39.5,33.9,45,6293,9304,34637
Georgia,38.9,35.1,42.2,2273,2814,28418
Romania,38.2,40.1,36.5,5206,5949,48712
Barbados,38.2,27.1,48.2,NA,NA,22672
Iraq,37.4,29.3,45.1,1951,2293,14464
Bahrain,37.2,33.8,43.7,NA,NA,67211
Hungary,36.4,38.5,34.5,7684,8613,47636
Libya,36.2,26.9,45.5,NA,NA,13954
Mexico,36.1,31.5,40.3,3315,4929,25688
Panama,36.1,29,43,6254,9453,41405
Argentina,36,34.8,37.2,5319,6935,30176
Croatia,35.7,36.7,34.6,7196,8008,48575
Jordan,35.6,31.4,40.2,3185,4025,10821
Uruguay,34.7,31.2,37.8,7533,9888,36418
Malta,34.6,36.8,32.2,14543,16509,67364
Turkey,34.3,25.6,42.7,5251,7267,43932
New Zealand,34.2,33.1,35.4,NA,NA,55094
Jamaica,34.2,19,48.8,2899,4429,11662
Antigua and Barbuda,34.1,24.2,42.8,NA,NA,33602
Bermuda,34,24.4,42.7,NA,NA,119719
Saint Lucia,33.9,20.7,46.7,4519,6946,27567
Fiji,33.8,25.8,41.8,2460,3261,16032
Greece,33.7,33.1,34.2,6936,8131,44074
Palestine,32.8,26.2,39.2,3275,3964,NA
