Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate,average_price,item_name
American Samoa,75.6,70.2,80.6,25,"Meal at an Inexpensive Restaurant, Restaurants"
American Samoa,75.6,70.2,80.6,6.99,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
American Samoa,75.6,70.2,80.6,2,"Domestic Draft Beer (0.5 Liter), Restaurants"
American Samoa,75.6,70.2,80.6,2,"Imported Beer (0.33 Liter Bottle), Restaurants"
American Samoa,75.6,70.2,80.6,1.25,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
American Samoa,75.6,70.2,80.6,2.55,"Milk (Regular, 1 Liter), Markets"
American Samoa,75.6,70.2,80.6,2.89,"Fresh White Bread (500 g Loaf), Markets"
American Samoa,75.6,70.2,80.6,4.5,"Eggs (12, Large Size), Markets"
American Samoa,75.6,70.2,80.6,10.2,"Local Cheese (1 kg), Markets"
American Samoa,75.6,70.2,80.6,15,"Bottle of Wine (Mid-Range), Markets"
American Samoa,75.6,70.2,80.6,2.95,"Imported Beer (0.33 Liter Bottle), Markets"
American Samoa,75.6,70.2,80.6,11.5,"Cigarettes (Pack of 20, Marlboro), Markets"
American Samoa,75.6,70.2,80.6,1,"Cappuccino (Regular Size), Restaurants"
American Samoa,75.6,70.2,80.6,4.3,"White Rice (1 kg), Markets"
American Samoa,75.6,70.2,80.6,11.35,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Tonga,70.5,61.3,79.1,8.31,"Meal at an Inexpensive Restaurant, Restaurants"
Tonga,70.5,61.3,79.1,62.3,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Tonga,70.5,61.3,79.1,10.38,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Tonga,70.5,61.3,79.1,3.32,"Domestic Draft Beer (0.5 Liter), Restaurants"
Tonga,70.5,61.3,79.1,4.98,"Imported Beer (0.33 Liter Bottle), Restaurants"
Tonga,70.5,61.3,79.1,2.84,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Tonga,70.5,61.3,79.1,2.46,"Bottled Water (0.33 Liter), Restaurants"
Tonga,70.5,61.3,79.1,1.56,"Milk (Regular, 1 Liter), Markets"
Tonga,70.5,61.3,79.1,1.04,"Fresh White Bread (500 g Loaf), Markets"
Tonga,70.5,61.3,79.1,5.09,"Eggs (12, Large Size), Markets"
Tonga,70.5,61.3,79.1,9,"Local Cheese (1 kg), Markets"
Tonga,70.5,61.3,79.1,1.38,"Bottled Water (1.5 Liter), Markets"
Tonga,70.5,61.3,79.1,17.03,"Bottle of Wine (Mid-Range), Markets"
Tonga,70.5,61.3,79.1,3.18,"Domestic Beer (0.5 Liter Bottle), Markets"
Tonga,70.5,61.3,79.1,3.32,"Imported Beer (0.33 Liter Bottle), Markets"
Tonga,70.5,61.3,79.1,10.18,"Cigarettes (Pack of 20, Marlboro), Markets"
Tonga,70.5,61.3,79.1,5.88,"Chicken Fillets (1 kg), Markets"
Tonga,70.5,61.3,79.1,2.77,"Apples (1 kg), Markets"
Tonga,70.5,61.3,79.1,2.91,"Oranges (1 kg), Markets"
Tonga,70.5,61.3,79.1,3.18,"Potatoes (1 kg), Markets"
Tonga,70.5,61.3,79.1,2.22,"Lettuce (1 Head), Markets"
Tonga,70.5,61.3,79.1,2.91,"Cappuccino (Regular Size), Restaurants"
Tonga,70.5,61.3,79.1,2.06,"White Rice (1 kg), Markets"
Tonga,70.5,61.3,79.1,3.74,"Tomatoes (1 kg), Markets"
Tonga,70.5,61.3,79.1,2.77,"Bananas (1 kg), Markets"
Tonga,70.5,61.3,79.1,2.63,"Onions (1 kg), Markets"
Tonga,70.5,61.3,79.1,7.68,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Nauru,70.2,69.4,71,9.91,"Meal at an Inexpensive Restaurant, Restaurants"
Nauru,70.2,69.4,71,23.13,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Nauru,70.2,69.4,71,9.91,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Nauru,70.2,69.4,71,6.61,"Domestic Draft Beer (0.5 Liter), Restaurants"
Nauru,70.2,69.4,71,4.63,"Imported Beer (0.33 Liter Bottle), Restaurants"
Nauru,70.2,69.4,71,0.99,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Nauru,70.2,69.4,71,0.99,"Bottled Water (0.33 Liter), Restaurants"
Nauru,70.2,69.4,71,2.97,"Milk (Regular, 1 Liter), Markets"
Nauru,70.2,69.4,71,1.65,"Fresh White Bread (500 g Loaf), Markets"
Nauru,70.2,69.4,71,16.52,"Bottle of Wine (Mid-Range), Markets"
Nauru,70.2,69.4,71,3.3,"Potatoes (1 kg), Markets"
Nauru,70.2,69.4,71,3.3,"Lettuce (1 Head), Markets"
Nauru,70.2,69.4,71,3.3,"Cappuccino (Regular Size), Restaurants"
Nauru,70.2,69.4,71,3.3,"Onions (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,11.54,"Meal at an Inexpensive Restaurant, Restaurants"
Cook Islands,68.4,64.8,71.5,57.68,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Cook Islands,68.4,64.8,71.5,8.65,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Cook Islands,68.4,64.8,71.5,6.34,"Domestic Draft Beer (0.5 Liter), Restaurants"
Cook Islands,68.4,64.8,71.5,5.19,"Imported Beer (0.33 Liter Bottle), Restaurants"
Cook Islands,68.4,64.8,71.5,2.45,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Cook Islands,68.4,64.8,71.5,2.31,"Bottled Water (0.33 Liter), Restaurants"
Cook Islands,68.4,64.8,71.5,2.02,"Milk (Regular, 1 Liter), Markets"
Cook Islands,68.4,64.8,71.5,3.01,"Fresh White Bread (500 g Loaf), Markets"
Cook Islands,68.4,64.8,71.5,5.57,"Eggs (12, Large Size), Markets"
Cook Islands,68.4,64.8,71.5,9.42,"Local Cheese (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,3.17,"Bottled Water (1.5 Liter), Markets"
Cook Islands,68.4,64.8,71.5,11.54,"Bottle of Wine (Mid-Range), Markets"
Cook Islands,68.4,64.8,71.5,3.46,"Domestic Beer (0.5 Liter Bottle), Markets"
Cook Islands,68.4,64.8,71.5,4.76,"Imported Beer (0.33 Liter Bottle), Markets"
Cook Islands,68.4,64.8,71.5,14.42,"Cigarettes (Pack of 20, Marlboro), Markets"
Cook Islands,68.4,64.8,71.5,7.5,"Chicken Fillets (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,2.87,"Apples (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,3.45,"Oranges (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,2.31,"Potatoes (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,2.02,"Lettuce (1 Head), Markets"
