Country,Median Income 2020,Mean Income 2020,GDP per Capita 2020
Luxembourg,"$26,321","$31,376","$150,772"
United Arab Emirates,"$24,292","$27,107","$77,959"
Norway,"$22,684","$25,272","$101,032"
Switzerland,"$21,490","$25,787","$93,819"
United States,"$19,306","$25,332","$85,810"
Canada,"$18,652","$22,042","$65,463"
Austria,"$18,405","$20,718","$71,618"
Sweden,"$17,625","$20,193","$71,030"
Denmark,"$17,432","$20,304","$79,514"
Netherlands,"$17,154","$19,690","$84,218"
Australia,"$17,076","$21,329","$71,193"
Iceland,"$17,017","$19,300","$78,259"
Germany,"$16,845","$19,730","$72,300"
France,"$16,372","$19,409","$61,322"
Finland,"$16,332","$18,742","$64,091"
Belgium,"$16,157","$17,917","$72,126"
United Kingdom,"$14,793","$18,133","$60,620"
Malta,"$14,543","$16,509","$67,364"
Ireland,"$14,520","$17,938","$131,175"
Japan,"$14,255","$17,095","$51,685"
Taiwan,"$13,605","$16,355",
Italy,"$13,170","$15,547","$60,847"
Cyprus,"$13,053","$15,663","$61,240"
South Korea,"$12,507","$14,316",
Slovenia,"$11,878","$13,056","$56,531"
Spain,"$11,786","$13,822","$56,926"
Israel,"$10,866","$13,271","$55,691"
Estonia,"$10,651","$12,540","$49,334"
Czechia,"$10,046","$11,394","$56,806"
Poland,"$8,885","$10,155","$50,378"
Portugal,"$8,439","$10,316","$50,617"
Lithuania,"$8,267","$10,479","$54,414"
Slovakia,"$7,991","$8,408","$47,181"
Latvia,"$7,971","$9,727","$43,867"
Lebanon,"$7,712","$9,091",
Hungary,"$7,684","$8,613","$47,636"
Uruguay,"$7,533","$9,888","$36,418"
Malaysia,"$7,512","$10,200","$38,729"
Croatia,"$7,196","$8,008","$48,575"
Greece,"$6,936","$8,131","$44,074"
Belarus,"$6,507","$7,359","$33,006"
Chile,"$6,293","$9,304","$34,637"
Panama,"$6,254","$9,453","$41,405"
Bosnia and Herzegovina,"$5,925","$7,131","$21,971"
Bulgaria,"$5,696","$7,474","$41,086"
Russia,"$5,504","$7,275","$47,405"
Costa Rica,"$5,457","$8,440","$30,063"
Maldives,"$5,409","$6,435","$26,543"
Argentina,"$5,319","$6,935","$30,176"
Seychelles,"$5,314","$8,044","$33,239"
Turkey,"$5,251","$7,267","$43,932"
Romania,"$5,206","$5,949","$48,712"
Brazil,"$4,559","$7,654","$22,333"
Saint Lucia,"$4,519","$6,946","$27,567"
Ukraine,"$4,434","$5,010","$18,550"
Serbia,"$4,416","$5,252","$31,867"
Iran,"$4,360","$5,924","$18,442"
Thailand,"$4,356","$5,670","$24,708"
Paraguay,"$4,334","$6,373","$18,524"
Montenegro,"$4,193","$5,123","$33,380"
Dominican Republic,"$4,060","$5,873","$27,541"
North Macedonia,"$3,857","$4,279","$26,587"
Mauritius,"$3,832","$4,969","$31,051"
Peru,"$3,678","$4,977","$17,802"
Kazakhstan,"$3,661","$4,313","$40,813"
Bolivia,"$3,631","$4,787","$11,190"
Ecuador,"$3,525","$5,046","$15,840"
Tunisia,"$3,366","$4,076","$14,451"
Mexico,"$3,315","$4,929","$25,688"
Palestine,"$3,275","$3,964",
Colombia,"$3,259","$5,201","$21,495"
Jordan,"$3,185","$4,025","$10,821"
Vietnam,"$3,149","$3,881","$16,386"
Moldova,"$3,133","$3,590","$18,717"
El Salvador,"$3,095","$3,989","$13,264"
Jamaica,"$2,899","$4,429","$11,662"
Trinidad and Tobago,"$2,868","$3,711","$36,021"
Mongolia,"$2,800","$3,409","$19,098"
Tonga,"$2,782","$3,677",
Gabon,"$2,779","$3,544","$21,510"
Morocco,"$2,716","$3,721","$10,305"
Venezuela,"$2,710","$3,741",
Nicaragua,"$2,697","$3,913","$8,709"
Algeria,"$2,612","$2,996","$17,553"
Albania,"$2,578","$3,141","$23,488"
Samoa,"$2,537","$3,418","$7,837"
Fiji,"$2,460","$3,261","$16,032"
Bhutan,"$2,446","$3,189",
Cape Verde,"$2,354","$3,326","$11,262"
Sri Lanka,"$2,277","$3,162","$15,633"
Georgia,"$2,273","$2,814","$28,418"
Armenia,"$2,216","$2,810","$22,823"
Tuvalu,"$2,099","$2,802",
Guatemala,"$2,036","$3,103","$14,369"
Guyana,"$2,003","$2,729","$79,906"
Syria,"$1,996","$2,606",
Tajikistan,"$1,994","$2,437","$5,406"
Namibia,"$1,962","$4,023","$11,687"
Honduras,"$1,959","$3,109","$7,486"
Iraq,"$1,951","$2,293","$14,464"
Belize,"$1,927","$3,246","$15,093"
Myanmar,"$1,909","$2,296","$5,997"
Kyrgyzstan,"$1,892","$2,235","$8,009"
Ghana,"$1,779","$2,422","$8,027"
Mauritania,"$1,760","$2,094","$7,271"
Suriname,"$1,659","$2,593","$22,067"
South Africa,"$1,624","$4,081","$15,457"
