"","Country","average_price","item_name"
"1","Afghanistan",2.3,"Meal at an Inexpensive Restaurant, Restaurants"
"2","Afghanistan",10.36,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"3","Afghanistan",3.83,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"4","Afghanistan",3.07,"Domestic Draft Beer (0.5 Liter), Restaurants"
"5","Afghanistan",7.66,"Imported Beer (0.33 Liter Bottle), Restaurants"
"6","Afghanistan",0.43,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"7","Afghanistan",0.16,"Bottled Water (0.33 Liter), Restaurants"
"8","Afghanistan",0.79,"Milk (Regular, 1 Liter), Markets"
"9","Afghanistan",0.24,"Fresh White Bread (500 g Loaf), Markets"
"10","Afghanistan",1.67,"Eggs (12, Large Size), Markets"
"11","Afghanistan",4.1,"Local Cheese (1 kg), Markets"
"12","Afghanistan",0.34,"Bottled Water (1.5 Liter), Markets"
"13","Afghanistan",1.84,"Bottle of Wine (Mid-Range), Markets"
"14","Afghanistan",0.66,"Domestic Beer (0.5 Liter Bottle), Markets"
"15","Afghanistan",1.11,"Imported Beer (0.33 Liter Bottle), Markets"
"16","Afghanistan",2.3,"Cigarettes (Pack of 20, Marlboro), Markets"
"17","Afghanistan",3.61,"Chicken Fillets (1 kg), Markets"
"18","Afghanistan",0.64,"Apples (1 kg), Markets"
"19","Afghanistan",0.83,"Oranges (1 kg), Markets"
"20","Afghanistan",0.46,"Potatoes (1 kg), Markets"
"21","Afghanistan",0.34,"Lettuce (1 Head), Markets"
"22","Afghanistan",0.97,"Cappuccino (Regular Size), Restaurants"
"23","Afghanistan",1.86,"White Rice (1 kg), Markets"
"24","Afghanistan",0.54,"Tomatoes (1 kg), Markets"
"25","Afghanistan",0.85,"Bananas (1 kg), Markets"
"26","Afghanistan",0.39,"Onions (1 kg), Markets"
"27","Afghanistan",6.16,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"28","Aland Islands",16.3,"Meal at an Inexpensive Restaurant, Restaurants"
"29","Aland Islands",81.51,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"30","Aland Islands",12.23,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"31","Aland Islands",8.15,"Domestic Draft Beer (0.5 Liter), Restaurants"
"32","Aland Islands",6.4,"Imported Beer (0.33 Liter Bottle), Restaurants"
"33","Aland Islands",2.85,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"34","Aland Islands",2.1,"Bottled Water (0.33 Liter), Restaurants"
"35","Aland Islands",1.25,"Milk (Regular, 1 Liter), Markets"
"36","Aland Islands",2.79,"Fresh White Bread (500 g Loaf), Markets"
"37","Aland Islands",3.07,"Eggs (12, Large Size), Markets"
"38","Aland Islands",12.52,"Local Cheese (1 kg), Markets"
"39","Aland Islands",1.86,"Bottled Water (1.5 Liter), Markets"
"40","Aland Islands",13.39,"Bottle of Wine (Mid-Range), Markets"
"41","Aland Islands",3.74,"Domestic Beer (0.5 Liter Bottle), Markets"
"42","Aland Islands",3.41,"Imported Beer (0.33 Liter Bottle), Markets"
"43","Aland Islands",10.24,"Cigarettes (Pack of 20, Marlboro), Markets"
"44","Aland Islands",10.19,"Chicken Fillets (1 kg), Markets"
"45","Aland Islands",2.92,"Apples (1 kg), Markets"
"46","Aland Islands",2.66,"Oranges (1 kg), Markets"
"47","Aland Islands",1.34,"Potatoes (1 kg), Markets"
"48","Aland Islands",2.36,"Lettuce (1 Head), Markets"
"49","Aland Islands",4.02,"Cappuccino (Regular Size), Restaurants"
"50","Aland Islands",2.33,"White Rice (1 kg), Markets"
"51","Aland Islands",4.66,"Tomatoes (1 kg), Markets"
"52","Aland Islands",1.83,"Bananas (1 kg), Markets"
"53","Aland Islands",1.31,"Onions (1 kg), Markets"
"54","Aland Islands",16.01,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"55","Albania",12.09,"Meal at an Inexpensive Restaurant, Restaurants"
"56","Albania",48.36,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"57","Albania",9.67,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"58","Albania",2.72,"Domestic Draft Beer (0.5 Liter), Restaurants"
"59","Albania",4.23,"Imported Beer (0.33 Liter Bottle), Restaurants"
"60","Albania",1.97,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"61","Albania",0.92,"Bottled Water (0.33 Liter), Restaurants"
"62","Albania",2.12,"Milk (Regular, 1 Liter), Markets"
"63","Albania",1.08,"Fresh White Bread (500 g Loaf), Markets"
"64","Albania",3.83,"Eggs (12, Large Size), Markets"
"65","Albania",12.75,"Local Cheese (1 kg), Markets"
"66","Albania",0.74,"Bottled Water (1.5 Liter), Markets"
"67","Albania",9.67,"Bottle of Wine (Mid-Range), Markets"
"68","Albania",1.59,"Domestic Beer (0.5 Liter Bottle), Markets"
"69","Albania",2.13,"Imported Beer (0.33 Liter Bottle), Markets"
"70","Albania",4.47,"Cigarettes (Pack of 20, Marlboro), Markets"
"71","Albania",8.21,"Chicken Fillets (1 kg), Markets"
"72","Albania",1.62,"Apples (1 kg), Markets"
"73","Albania",1.83,"Oranges (1 kg), Markets"
"74","Albania",1.17,"Potatoes (1 kg), Markets"
"75","Albania",1.36,"Lettuce (1 Head), Markets"
"76","Albania",2.01,"Cappuccino (Regular Size), Restaurants"
"77","Albania",2.25,"White Rice (1 kg), Markets"
"78","Albania",1.63,"Tomatoes (1 kg), Markets"
"79","Albania",2.59,"Bananas (1 kg), Markets"
"80","Albania",1.2,"Onions (1 kg), Markets"
"81","Albania",15.07,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
"82","Alderney",26.65,"Meal at an Inexpensive Restaurant, Restaurants"
"83","Alderney",103.28,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
"84","Alderney",11.33,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
"85","Alderney",5.64,"Domestic Draft Beer (0.5 Liter), Restaurants"
"86","Alderney",6.66,"Imported Beer (0.33 Liter Bottle), Restaurants"
"87","Alderney",2.63,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
"88","Alderney",1.33,"Bottled Water (0.33 Liter), Restaurants"
"89","Alderney",1.93,"Milk (Regular, 1 Liter), Markets"
