name,average_price,item_name
Afghanistan,2.3,"Meal at an Inexpensive Restaurant, Restaurants"
Afghanistan,10.36,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Afghanistan,3.83,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Afghanistan,3.07,"Domestic Draft Beer (0.5 Liter), Restaurants"
Afghanistan,7.66,"Imported Beer (0.33 Liter Bottle), Restaurants"
Afghanistan,0.43,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Afghanistan,0.16,"Bottled Water (0.33 Liter), Restaurants"
Afghanistan,0.79,"Milk (Regular, 1 Liter), Markets"
Afghanistan,0.24,"Fresh White Bread (500 g Loaf), Markets"
Afghanistan,1.67,"Eggs (12, Large Size), Markets"
Afghanistan,4.1,"Local Cheese (1 kg), Markets"
Afghanistan,0.34,"Bottled Water (1.5 Liter), Markets"
Afghanistan,1.84,"Bottle of Wine (Mid-Range), Markets"
Afghanistan,0.66,"Domestic Beer (0.5 Liter Bottle), Markets"
Afghanistan,1.11,"Imported Beer (0.33 Liter Bottle), Markets"
Afghanistan,2.3,"Cigarettes (Pack of 20, Marlboro), Markets"
Afghanistan,3.61,"Chicken Fillets (1 kg), Markets"
Afghanistan,0.64,"Apples (1 kg), Markets"
Afghanistan,0.83,"Oranges (1 kg), Markets"
Afghanistan,0.46,"Potatoes (1 kg), Markets"
Afghanistan,0.34,"Lettuce (1 Head), Markets"
Afghanistan,0.97,"Cappuccino (Regular Size), Restaurants"
Afghanistan,1.86,"White Rice (1 kg), Markets"
Afghanistan,0.54,"Tomatoes (1 kg), Markets"
Afghanistan,0.85,"Bananas (1 kg), Markets"
Afghanistan,0.39,"Onions (1 kg), Markets"
Afghanistan,6.16,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Aland Islands,16.3,"Meal at an Inexpensive Restaurant, Restaurants"
Aland Islands,81.51,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Aland Islands,12.23,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Aland Islands,8.15,"Domestic Draft Beer (0.5 Liter), Restaurants"
Aland Islands,6.4,"Imported Beer (0.33 Liter Bottle), Restaurants"
Aland Islands,2.85,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Aland Islands,2.1,"Bottled Water (0.33 Liter), Restaurants"
Aland Islands,1.25,"Milk (Regular, 1 Liter), Markets"
Aland Islands,2.79,"Fresh White Bread (500 g Loaf), Markets"
Aland Islands,3.07,"Eggs (12, Large Size), Markets"
Aland Islands,12.52,"Local Cheese (1 kg), Markets"
Aland Islands,1.86,"Bottled Water (1.5 Liter), Markets"
Aland Islands,13.39,"Bottle of Wine (Mid-Range), Markets"
Aland Islands,3.74,"Domestic Beer (0.5 Liter Bottle), Markets"
Aland Islands,3.41,"Imported Beer (0.33 Liter Bottle), Markets"
Aland Islands,10.24,"Cigarettes (Pack of 20, Marlboro), Markets"
Aland Islands,10.19,"Chicken Fillets (1 kg), Markets"
Aland Islands,2.92,"Apples (1 kg), Markets"
Aland Islands,2.66,"Oranges (1 kg), Markets"
Aland Islands,1.34,"Potatoes (1 kg), Markets"
Aland Islands,2.36,"Lettuce (1 Head), Markets"
Aland Islands,4.02,"Cappuccino (Regular Size), Restaurants"
Aland Islands,2.33,"White Rice (1 kg), Markets"
Aland Islands,4.66,"Tomatoes (1 kg), Markets"
Aland Islands,1.83,"Bananas (1 kg), Markets"
Aland Islands,1.31,"Onions (1 kg), Markets"
Aland Islands,16.01,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Albania,12.09,"Meal at an Inexpensive Restaurant, Restaurants"
Albania,48.36,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Albania,9.67,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Albania,2.72,"Domestic Draft Beer (0.5 Liter), Restaurants"
Albania,4.23,"Imported Beer (0.33 Liter Bottle), Restaurants"
Albania,1.97,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Albania,0.92,"Bottled Water (0.33 Liter), Restaurants"
Albania,2.12,"Milk (Regular, 1 Liter), Markets"
Albania,1.08,"Fresh White Bread (500 g Loaf), Markets"
Albania,3.83,"Eggs (12, Large Size), Markets"
Albania,12.75,"Local Cheese (1 kg), Markets"
Albania,0.74,"Bottled Water (1.5 Liter), Markets"
Albania,9.67,"Bottle of Wine (Mid-Range), Markets"
Albania,1.59,"Domestic Beer (0.5 Liter Bottle), Markets"
Albania,2.13,"Imported Beer (0.33 Liter Bottle), Markets"
Albania,4.47,"Cigarettes (Pack of 20, Marlboro), Markets"
Albania,8.21,"Chicken Fillets (1 kg), Markets"
Albania,1.62,"Apples (1 kg), Markets"
Albania,1.83,"Oranges (1 kg), Markets"
Albania,1.17,"Potatoes (1 kg), Markets"
Albania,1.36,"Lettuce (1 Head), Markets"
Albania,2.01,"Cappuccino (Regular Size), Restaurants"
Albania,2.25,"White Rice (1 kg), Markets"
Albania,1.63,"Tomatoes (1 kg), Markets"
Albania,2.59,"Bananas (1 kg), Markets"
Albania,1.2,"Onions (1 kg), Markets"
Albania,15.07,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Alderney,26.65,"Meal at an Inexpensive Restaurant, Restaurants"
Alderney,103.28,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Alderney,11.33,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Alderney,5.64,"Domestic Draft Beer (0.5 Liter), Restaurants"
Alderney,6.66,"Imported Beer (0.33 Liter Bottle), Restaurants"
Alderney,2.63,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Alderney,1.33,"Bottled Water (0.33 Liter), Restaurants"
Alderney,1.93,"Milk (Regular, 1 Liter), Markets"
