Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate
American Samoa,75.6%,70.2%,80.6%
Tonga,70.5%,61.3%,79.1%
Nauru,70.2%,69.4%,71%
Tokelau,69.2%,65.8%,72.5%
Cook Islands,68.4%,64.8%,71.5%
Niue,66.5%,63.7%,68.8%
Tuvalu,63.9%,57.1%,22.9%
Samoa,61.2%,50%,72.6%
French Polynesia,48.4%,46.7%,50.2%
Bahamas,47.6%,39.1%,55.1%
Marshall Islands,47.3%,38.4%,56.4%
Saint Kitts and Nevis,46.6%,37.4%,55%
Kiribati,46.2%,35.8%,55.5%
Micronesia,45.6%,37%,54.1%
Kuwait,45.4%,41.6%,51.7%
Qatar,43.8%,41.7%,50.6%
Egypt,43%,30.1%,56%
United States,42.9%,41.9%,43.8%
Palau,42.2%,39.6%,45.1%
Belize,41.9%,32.3%,51.5%
Saudi Arabia,41.1%,38.9%,44.5%
Chile,39.5%,33.9%,45%
Georgia,38.9%,35.1%,42.2%
Romania,38.2%,40.1%,36.5%
Barbados,38.2%,27.1%,48.2%
Iraq,37.4%,29.3%,45.1%
Bahrain,37.2%,33.8%,43.7%
Hungary,36.4%,38.5%,34.5%
Libya,36.2%,26.9%,45.5%
Mexico,36.1%,31.5%,40.3%
Panama,36.1%,29%,43%
Argentina,36%,34.8%,37.2%
Croatia,35.7%,36.7%,34.6%
Jordan,35.6%,31.4%,40.2%
Uruguay,34.7%,31.2%,37.8%
Malta,34.6%,36.8%,32.2%
Turkey,34.3%,25.6%,42.7%
New Zealand,34.2%,33.1%,35.4%
Jamaica,34.2%,19%,48.8%
Antigua and Barbuda,34.1%,24.2%,42.8%
Bermuda,34%,24.4%,42.7%
Saint Lucia,33.9%,20.7%,46.7%
Fiji,33.8%,25.8%,41.8%
Greece,33.7%,33.1%,34.2%
Saint Vincent and the Grenadines,33.6%,18.9%,48.8%
Palestine,32.8%,26.2%,39.2%
Nicaragua,32.4%,27.1%,37.4%
Brunei,32.4%,30.6%,34.3%
Paraguay,32.1%,29.1%,35%
Costa Rica,32%,25.1%,38.7%
Australia,31.8%,32.7%,31%
United Arab Emirates,31.5%,29.2%,37.8%
Dominica,31.5%,18%,44.7%
Poland,31.4%,33.8%,29.2%
